Schema Element,TotalCount
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,48
http://bio2rdf.org/affymetrix_vocabulary:Probeset,262
http://bio2rdf.org/affymetrix_vocabulary:genechip-array,21
http://bio2rdf.org/clinicaltrials_vocabulary:Active_Comparator,51
http://bio2rdf.org/clinicaltrials_vocabulary:Address,47
http://bio2rdf.org/clinicaltrials_vocabulary:Analysis,82
http://bio2rdf.org/clinicaltrials_vocabulary:Baseline,39
http://bio2rdf.org/clinicaltrials_vocabulary:Behavioral,54
http://bio2rdf.org/clinicaltrials_vocabulary:Biological,58
http://bio2rdf.org/clinicaltrials_vocabulary:Case,43
http://bio2rdf.org/clinicaltrials_vocabulary:Category,37
http://bio2rdf.org/clinicaltrials_vocabulary:City,73
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Arm,52
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Result,34
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,323
http://bio2rdf.org/clinicaltrials_vocabulary:Contact,80
http://bio2rdf.org/clinicaltrials_vocabulary:Control,41
http://bio2rdf.org/clinicaltrials_vocabulary:Country,40
http://bio2rdf.org/clinicaltrials_vocabulary:Device,54
http://bio2rdf.org/clinicaltrials_vocabulary:Dietary_Supplement,56
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,73
http://bio2rdf.org/clinicaltrials_vocabulary:Eligibility,87
http://bio2rdf.org/clinicaltrials_vocabulary:Event,33
http://bio2rdf.org/clinicaltrials_vocabulary:Event-Count,59
http://bio2rdf.org/clinicaltrials_vocabulary:Experimental,51
http://bio2rdf.org/clinicaltrials_vocabulary:Genetic,60
http://bio2rdf.org/clinicaltrials_vocabulary:Group,52
http://bio2rdf.org/clinicaltrials_vocabulary:Inclusion-Criteria,74
http://bio2rdf.org/clinicaltrials_vocabulary:Link,39
http://bio2rdf.org/clinicaltrials_vocabulary:Location,584
http://bio2rdf.org/clinicaltrials_vocabulary:Measure,49
http://bio2rdf.org/clinicaltrials_vocabulary:Measurement,48
http://bio2rdf.org/clinicaltrials_vocabulary:Milestone,37
http://bio2rdf.org/clinicaltrials_vocabulary:No_Intervention,51
http://bio2rdf.org/clinicaltrials_vocabulary:Organization,76
http://bio2rdf.org/clinicaltrials_vocabulary:Other,81
http://bio2rdf.org/clinicaltrials_vocabulary:Other-Event,42
http://bio2rdf.org/clinicaltrials_vocabulary:Outcome,57
