Schema Element,TotalCount
http://bio2rdf.org/drugbank_vocabulary:manufacturer,64
http://bio2rdf.org/drugbank_vocabulary:mechanism-of-action,133
http://bio2rdf.org/drugbank_vocabulary:mixture,6
http://bio2rdf.org/drugbank_vocabulary:patent,174
http://bio2rdf.org/drugbank_vocabulary:product,55
http://bio2rdf.org/drugbank_vocabulary:protein-binding,75
http://bio2rdf.org/drugbank_vocabulary:route,4
http://bio2rdf.org/drugbank_vocabulary:route-of-elimination,158
http://bio2rdf.org/drugbank_vocabulary:salt,4
http://bio2rdf.org/drugbank_vocabulary:source,71
http://bio2rdf.org/drugbank_vocabulary:synonym,29662
http://bio2rdf.org/drugbank_vocabulary:target,47415
http://bio2rdf.org/drugbank_vocabulary:toxicity,165
http://bio2rdf.org/drugbank_vocabulary:transporter,112
http://bio2rdf.org/drugbank_vocabulary:volume-of-distribution,95
http://bio2rdf.org/goa_vocabulary:GO-Annotation,290
http://bio2rdf.org/goa_vocabulary:go-annotation,7
http://bio2rdf.org/goa_vocabulary:target,9
http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,76
http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,158
http://bio2rdf.org/hgnc_vocabulary:has-approved-symbol,4
http://bio2rdf.org/hgnc_vocabulary:is-approved-symbol-of,4
http://bio2rdf.org/hgnc_vocabulary:previous-symbol,3
http://bio2rdf.org/hgnc_vocabulary:status,755
http://bio2rdf.org/homologene_vocabulary:Homologene-Group,76
http://bio2rdf.org/irefindex_vocabulary:Homopolymeric-Complex,41
http://bio2rdf.org/irefindex_vocabulary:Multimeric-Complex,5316
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,10884
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Identical-Group,15
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Similar-Group,12
http://bio2rdf.org/irefindex_vocabulary:article,52
http://bio2rdf.org/irefindex_vocabulary:expansion-method,40
http://bio2rdf.org/irefindex_vocabulary:interactor_a,42888
http://bio2rdf.org/irefindex_vocabulary:interactor_b,25311
http://bio2rdf.org/kegg_vocabulary:Compound,56
http://bio2rdf.org/kegg_vocabulary:Disease,1
http://bio2rdf.org/kegg_vocabulary:Drug,207
http://bio2rdf.org/kegg_vocabulary:Environ,4
http://bio2rdf.org/kegg_vocabulary:Enzyme,153
http://bio2rdf.org/kegg_vocabulary:Gene,197
http://bio2rdf.org/kegg_vocabulary:Genome,1
http://bio2rdf.org/kegg_vocabulary:Glycan,23
http://bio2rdf.org/kegg_vocabulary:Ko,1
http://bio2rdf.org/kegg_vocabulary:Pathway,404
http://bio2rdf.org/kegg_vocabulary:Reaction,116
http://bio2rdf.org/kegg_vocabulary:Target,2
http://bio2rdf.org/kegg_vocabulary:gene,1
http://bio2rdf.org/kegg_vocabulary:pathway,9
http://bio2rdf.org/kegg_vocabulary:product,3
http://bio2rdf.org/kegg_vocabulary:substrate,3
http://bio2rdf.org/mgi_vocabulary:Allele,102
http://bio2rdf.org/mgi_vocabulary:BAC/YAC-end,84
http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/Region,95
http://bio2rdf.org/mgi_vocabulary:Cytogenetic-Marker,84
http://bio2rdf.org/mgi_vocabulary:DNA-Segment,94
http://bio2rdf.org/mgi_vocabulary:Gene,102
http://bio2rdf.org/mgi_vocabulary:Genotype,3509
http://bio2rdf.org/mgi_vocabulary:Marker,67
http://bio2rdf.org/mgi_vocabulary:Other-Genome-Feature,90
http://bio2rdf.org/mgi_vocabulary:Pseudogene,97
