Schema Element,TotalCount
http://bio2rdf.org/clinicaltrials_vocabulary:oversight,13
http://bio2rdf.org/clinicaltrials_vocabulary:participant-counts,13
http://bio2rdf.org/clinicaltrials_vocabulary:participant-flow,13
http://bio2rdf.org/clinicaltrials_vocabulary:period,13
http://bio2rdf.org/clinicaltrials_vocabulary:phase,47
http://bio2rdf.org/clinicaltrials_vocabulary:primary-outcome,69
http://bio2rdf.org/clinicaltrials_vocabulary:reference,13
http://bio2rdf.org/clinicaltrials_vocabulary:reported-events,15
http://bio2rdf.org/clinicaltrials_vocabulary:responsible-party,13
http://bio2rdf.org/clinicaltrials_vocabulary:secondary-outcome,36
http://bio2rdf.org/clinicaltrials_vocabulary:serious-events,13
http://bio2rdf.org/clinicaltrials_vocabulary:source,22
http://bio2rdf.org/clinicaltrials_vocabulary:study-design,13
http://bio2rdf.org/clinicaltrials_vocabulary:study-type,13
http://bio2rdf.org/clinicaltrials_vocabulary:sub-title,17
http://bio2rdf.org/ctd_vocabulary:Chemical,226
http://bio2rdf.org/ctd_vocabulary:Chemical-Disease-Association,44
http://bio2rdf.org/ctd_vocabulary:Chemical-Gene-Association,43
http://bio2rdf.org/ctd_vocabulary:Chemical-Pathway-Association,35
http://bio2rdf.org/ctd_vocabulary:Disease,101
http://bio2rdf.org/ctd_vocabulary:Gene,58
http://bio2rdf.org/ctd_vocabulary:Gene-Disease-Association,188
http://bio2rdf.org/ctd_vocabulary:Pathway,42
http://bio2rdf.org/ctd_vocabulary:chemical,2162
http://bio2rdf.org/ctd_vocabulary:disease,20
http://bio2rdf.org/ctd_vocabulary:gene,2147
http://bio2rdf.org/ctd_vocabulary:pathway,53
http://bio2rdf.org/drugbank_vocabulary:Absorption,37
http://bio2rdf.org/drugbank_vocabulary:Affected-organism,35
http://bio2rdf.org/drugbank_vocabulary:Bioavailability,39
http://bio2rdf.org/drugbank_vocabulary:Biotech,247
http://bio2rdf.org/drugbank_vocabulary:Boiling-Point,41
http://bio2rdf.org/drugbank_vocabulary:Caco2-Permeability,39
http://bio2rdf.org/drugbank_vocabulary:Calculated-properties,2
http://bio2rdf.org/drugbank_vocabulary:Carrier,102
http://bio2rdf.org/drugbank_vocabulary:Carrier-Relation,47
http://bio2rdf.org/drugbank_vocabulary:Category,35
http://bio2rdf.org/drugbank_vocabulary:Clearance,37
http://bio2rdf.org/drugbank_vocabulary:Dosage,46
http://bio2rdf.org/drugbank_vocabulary:Drug,67199
http://bio2rdf.org/drugbank_vocabulary:Drug-Classification-Category,35
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,40
http://bio2rdf.org/drugbank_vocabulary:Enzyme,104
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,48
http://bio2rdf.org/drugbank_vocabulary:Experimental-properties,2
