class,instances
BoardGame,1814
NetballPlayer,1803
FormulaOneRacer,1794
LatterDaySaint,1794
AcademicSubject,1767
BaseballLeague,1766
AmateurBoxer,1738
BasketballLeague,1733
BusinessPerson,1710
HandballTeam,1687
Stadium,1678
Crustacean,1676
Photographer,1674
Sport,1671
AdultActor,1631
Brain,1616
Pandemic,1586
Winery,1583
Presenter,1552
Canoeist,1513
CombinationDrug,1511
NobleFamily,1495
Governor,1485
LacrossePlayer,1461
ScreenWriter,1459
Entomologist,1450
Grape,1445
RoadTunnel,1439
Currency,1429
GolfCourse,1428
PoliceOfficer,1421
MonoclonalAntibody,1413
RadioHost,1344
PrimeMinister,1336
Brewery,1316
VoiceActor,1291
GovernmentalAdministrativeRegion,1283
Municipality,1267
RailwayTunnel,1259
TopLevelDomain,1233
BiologicalDatabase,1230
Garden,1230
IceHockeyLeague,1206
Rocket,1202
Pharaoh,1188
College,1170
Synagogue,1161
Pope,1154
WorldHeritageSite,1106
Racecourse,1099
Fashion,1098
LunarCrater,1097
Zoo,1068
Artery,1047
VolleyballLeague,1044
Bone,1004
Nerve,982
Bodybuilder,973
ComicStrip,973
FloweringPlant,971
Pilot,920
Identifier,903
Port,882
Rower,878
SolarEclipse,874
RoadJunction,870
Muscle,868
Cheese,859
Spy,859
Mill,857
ClassicalMusicArtist,855
HorseTrainer,829
Database,820
BeachVolleyballPlayer,812
AmericanLeader,808
MemberOfParliament,792
Factory,784
SkiResort,782
RaceTrack,776
Vein,738
Poet,716
BaseballSeason,711
HistoricalRegion,708
Archive,700
CollectionOfValuables,700
Tunnel,683
Baronet,628
VolleyballCoach,604
ConcentrationCamp,602
HistoricalPeriod,602
Algorithm,586
CricketGround,559
Embryology,559
Ligament,555
SpeedwayTeam,546
CardGame,526
BritishRoyalty,513
EurovisionSongContestEntry,495
NationalAnthem,490
Archipelago,466
AmericanFootballLeague,452
Windmill,444
Vaccine,443
Surname,441
FormulaOneTeam,435
Ambassador,403
ResearchProject,395
Rebbe,380
ComedyGroup,372
Congressman,364
Flag,363
FieldHockeyLeague,362
HandballLeague,362
Sea,362
AcademicConference,357
Project,357
LaunchPad,356
Outbreak,354
MedicalSpecialty,335
Judge,334
Guitarist,327
Reptile,326
NuclearPowerStation,325
Casino,324
Archaea,290
TelevisionHost,283
NationalCollegiateAthleticAssociationAthlete,279
Constellation,268
WaterRide,265
Shrine,254
HorseRider,251
YearInSpaceflight,241
Lymph,233
Watermill,222
BrownDwarf,217
Instrumentalist,209
LacrosseLeague,209
GolfLeague,205
SnookerWorldRanking,201
MotorcycleRacingLeague,200
WaterTower,197
Senator,192
Population,188
NaturalRegion,186
HotSpring,175
ChristianPatriarch,160
PoloLeague,151
Parliament,150
SpeedwayLeague,143
Amphibian,140
SoftballLeague,140
Bay,134
SnookerChamp,134
Competition,132
Contest,132
Spacecraft,130
AmericanFootballTeam,121
Continent,118
SpaceStation,118
Letter,117
SportCompetitionResult,114
Ideology,113
TennisLeague,104
BaseballTeam,97
Cat,94
Bird,91
Wine,91
Tax,81
WaterwayTunnel,81
Battery,78
Meeting,71
Chancellor,65
Pretender,60
MixedMartialArtsLeague,52
Fern,47
Novel,41
State,40
SpaceShuttle,39
Hormone,37
Manhua,37
Moss,37
Media,36
Statistic,35
CanadianFootballLeague,33
Instrument,33
CricketLeague,32
Guitar,31
NationalFootballLeagueEvent,31
Pyramid,31
TeamSport,28
BowlingLeague,25
Conifer,25
GeologicalPeriod,25
InlineHockeyLeague,22
AmericanFootballCoach,21
AnimangaCharacter,18
BoxingLeague,18
PublicService,16
AutoRacingLeague,15
Medicine,13
Prefecture,11
CurlingLeague,10
Cycad,10
AustralianFootballLeague,7
Employer,7
Beer,6
Ginkgo,6
Murderer,6
Ocean,6
SerialKiller,6
Department,5
OverseasDepartment,5
CyclingLeague,4
Manhwa,4
Monarch,4
ClubMoss,3
GreenAlga,3
Intercommunality,3
VicePresident,3
Organ,2
Producer,2
TermOfOffice,2
VideogamesLeague,2
Altitude,1
Chief,1
Drama,1
Gnetophytes,1
HollywoodCartoon,1
Singer,1
SongWriter,1
Treadmill,1
Agglomeration,0
Annotation,0
Archeologist,0
ArcherPlayer,0
Area,0
Arena,0
Aristocrat,0
Arrondissement,0
Article,0
ArtificialSatellite,0
ArtisticGenre,0
Athletics,0
AthleticsPlayer,0
Atoll,0
Attack,0
BackScene,0
Beach,0
Biathlete,0
Biologist,0
Blazon,0
BloodVessel,0
BobsleighAthlete,0
Browser,0
BullFighter,0
Camera,0
CanadianFootballPlayer,0
CanadianFootballTeam,0
Canton,0
Cape,0
Capital,0
CapitalOfRegion,0
CardinalDirection,0
Caterer,0
ChartsPlacements,0
