Schema Element,kind
http://bio2rdf.org/clinicaltrials_vocabulary:sub-title,predicate
http://bio2rdf.org/ctd_vocabulary:chemical,predicate
http://bio2rdf.org/ctd_vocabulary:disease,predicate
http://bio2rdf.org/ctd_vocabulary:gene,predicate
http://bio2rdf.org/ctd_vocabulary:pathway,predicate
http://bio2rdf.org/drugbank_vocabulary:absorption,predicate
http://bio2rdf.org/drugbank_vocabulary:affected-organism,predicate
http://bio2rdf.org/drugbank_vocabulary:brand,predicate
http://bio2rdf.org/drugbank_vocabulary:calculated-properties,predicate
http://bio2rdf.org/drugbank_vocabulary:carrier,predicate
http://bio2rdf.org/drugbank_vocabulary:category,predicate
http://bio2rdf.org/drugbank_vocabulary:clearance,predicate
http://bio2rdf.org/drugbank_vocabulary:country,predicate
http://bio2rdf.org/drugbank_vocabulary:ddi-interactor-in,predicate
http://bio2rdf.org/drugbank_vocabulary:dosage,predicate
http://bio2rdf.org/drugbank_vocabulary:drug,predicate
http://bio2rdf.org/drugbank_vocabulary:drug-classification-category,predicate
http://bio2rdf.org/drugbank_vocabulary:enzyme,predicate
http://bio2rdf.org/drugbank_vocabulary:experimental-properties,predicate
http://bio2rdf.org/drugbank_vocabulary:food-interaction,predicate
http://bio2rdf.org/drugbank_vocabulary:form,predicate
http://bio2rdf.org/drugbank_vocabulary:group,predicate
http://bio2rdf.org/drugbank_vocabulary:half-life,predicate
http://bio2rdf.org/drugbank_vocabulary:indication,predicate
http://bio2rdf.org/drugbank_vocabulary:ingredient,predicate
http://bio2rdf.org/drugbank_vocabulary:manufacturer,predicate
http://bio2rdf.org/drugbank_vocabulary:mechanism-of-action,predicate
