Class1,Predicate,Class2
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:location,http://bio2rdf.org/sgd_vocabulary:Location
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:strand,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:strand,http://bio2rdf.org/sgd_vocabulary:CrickStrand
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/pfam_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/sgd_vocabulary:RNA
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/coil_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/gene3d_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/hamap_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/panther_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/phobius_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/pirsf_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/prints_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/prodom_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/prosite_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/signalp_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/smart_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-proper-part,http://bio2rdf.org/superfamily_vocabulary:Resource
